"Site.State","Site.County","Year","Turbine.Capacity","Turbine.Hub_Height","Turbine.Rotor_Diameter","Turbine.Swept_Area","Turbine.Total_Height","Project.Capacity","Project.Number_Turbines","Site.Latitude","Site.Longitude"
"IA","Story County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.523651","42.006813"
"IA","Hardin County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.367798","42.49794"
"IA","Boone County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.700424","41.977608"
"IA","Story County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.430367","42.028233"
"IA","Story County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.518082","42.01363"
"IA","Poweshiek County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-92.672089","41.742046"
"IA","Story County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.515892","42.016373"
"IA","Story County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.632835","41.882477"
"IA","Story County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.623009","41.88147"
"IA","Story County","2017","3000","87.5","125.0","12271.85","150.0","30.0","10","-93.51371","42.019119"
"MA","Barnstable County","2013","1680","80.0","82.5","5345.62","121.3","3.36","2","-70.541801","41.752491"
"MA","Barnstable County","2013","1680","80.0","82.5","5345.62","121.3","3.36","2","-70.545303","41.754192"
"MA","Barnstable County","2011","1500","80.0","77.0","4656.63","118.6","3.0","2","-70.547798","41.75959"
"MA","Barnstable County","2011","1500","80.0","77.0","4656.63","118.6","3.0","2","-70.545303","41.757591"
"IA","Story County","2012","1600","80.0","82.5","5345.62","121.3","1.6","1","-93.325691","42.20639"
"IA","Story County","2012","1600","80.0","82.5","5345.62","121.3","1.6","1","-93.428093","42.146091"
"IA","Story County","2012","1600","80.0","82.5","5345.62","121.3","1.6","1","-93.431992","42.145592"
"IA","Story County","2012","1600","80.0","82.5","5345.62","121.3","1.6","1","-93.354897","41.904194"
"IA","Hamilton County","2012","1600","80.0","82.5","5345.62","121.3","1.6","1","-93.632095","42.335491"
"IA","Hamilton County","2012","1600","80.0","82.5","5345.62","121.3","1.6","1","-93.636795","42.335491"
"OH","Wood County","2004","1800","78.0","80.0","5026.55","118.0","3.6","2","-83.736298","41.382492"
"OH","Wood County","2004","1800","78.0","80.0","5026.55","118.0","3.6","2","-83.736298","41.384693"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.634491","41.439693"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.614189","41.441395"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.674889","41.423492"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.606689","41.441292"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.691689","41.445091"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.673988","41.494892"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.674194","41.434193"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.63839","41.439693"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.655891","41.457294"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.65139","41.421494"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.618294","41.441593"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.677391","41.463093"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.67009","41.495193"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.615791","41.452694"
"IA","Cass County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.715591","41.441792"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.611893","41.452892"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.659096","41.466694"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.692795","41.499294"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.613396","41.467094"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.654495","41.432995"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.62249","41.466595"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.676994","41.473293"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.695091","41.457893"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.61039","41.441395"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.696693","41.499092"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.68869","41.486591"
"IA","Cass County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.703896","41.499695"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.68409","41.443592"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.665092","41.423695"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.658493","41.433193"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.670395","41.434994"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.630692","41.439194"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.673492","41.463093"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.622093","41.441994"
"IA","Cass County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.726593","41.442894"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.685692","41.471092"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.665695","41.470993"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.655289","41.466293"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.69899","41.457794"
"IA","Cass County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.730293","41.442394"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.687691","41.445091"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.681793","41.471592"
"IA","Cass County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.704094","41.471092"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.678894","41.443993"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.665192","41.452293"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.688995","41.435894"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.619591","41.451992"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.612091","41.478592"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.68869","41.499294"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.618591","41.466793"
"IA","Cass County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.71209","41.468391"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.65979","41.457493"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.655891","41.421394"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.660995","41.421093"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.666992","41.482494"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.652596","41.455894"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.647896","41.465393"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.635391","41.449795"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.683395","41.484993"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.669289","41.452293"
"IA","Cass County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.706894","41.440792"
"IA","Adair County","2008","2300","80.0","93.0","6792.91","126.5","174.8","76","-94.648689","41.455395"
